column_1,column_2,column_3,column_4,column_5
138,Sean Gailmard,Professor,Political Science,UC Berkeley
139,Kathy Stuart,Professor,History,UC Davis
140,Navid Saberi-Najafi,Continuing Lecturer,Middle East/South Asia Studies,UC Davis
141,Clayton Nall,Associate Professor,Political Science,UC Santa Barbara
142,Tim Brelinski,Continuing Lecturer,Classics,UC Davis
143,Johannes Wieland,Professor,Economics,UC San Diego
144,Kyle Handley,Professor,School of Global Policy and Strategy,UC San Diego
145,Siwei Liu,Professor,Human Ecology,UC Davis
146,Susan A Maslan,Associate Professor,French,UC Berkeley
147,Jeff Sherman,Professor,Psychology,UC Davis
148,Jeannette Money,Professor,Political Science,UC Davis
149,Ryan Brizendine,Lecturer,"Religion, Culture, and Society",UC Davis
150,Randolph Siverson,Distinguished Professor Emeritus,Political Science,UC Davis
151,Dora L Costa,Professor,Economics,UCLA
152,Paul Smaldino,Professor,Cognitive & Information Sciences,UC Merced
153,Stefano Schiavon,Professor. Associate Dean of Research and Design,Architecture,UC Berkeley
154,Su-Ju Lin,Professor,Microbiology and Molecular Genetics,UC Davis
155,Shuya Yin,Professor,Merage School of Business,UC Irvine
156,Andrew Todd,Professor,Psychology,UC Davis
157,Eric L. Gans,Emeritus Distinguished Professor,ELTS,UCLA
158,Albert Hsiao,Professor,Radiology and Data Science,UC San Diego
159,Joshua Apte,Associate Professor,School of Public Health,UC Berkeley
160,Mihai Cucuringu,Professor,Mathematics,UCLA
161,Guershon Harel,Professor,Mathematics,UC San Diego
162,Carlo Carraro,Adjunct Professor,Chemical and Biomolecular Engineering,UC Berkeley
163,David Baqaee,Professor,Economics,UCLA
164,Rohan French,Associate Professor,Philosophy,UC Davis
165,Ozlem Ayduk,Professor,Psychology,UC Berkeley
166,Michael J Spivey,Professor,Cognitive and Information Sciences,UC Merced
167,Edward L. Keenan,Distinguished Research Professor,Linguistics,UCLA
168,Niklaus E Largier,Professor,German / Comparative Literature,UC Berkeley
169,Hanno Hilbig,Assistant professor,Political Science,UC Davis
170,Enrico Moretti,Professor,Economics,UC Berkeley
171,Allen J Scott,Distinguished Research Professor,Geography,UCLA
172,Hadi Esmaeilzadeh,Professor and Halicioğlu Chair in Computer Architecture,Computer Science and Engineering,UC San Diego
173,Andrews Reath,Professor,Philosophy,UC Riverside
174,Ayelet Gneezy,Professor,Rady school of management,UC San Diego
175,Sean Collins,Associate Professor,Microbiology & Molecular Genetics,UC Davis
176,Terry Hendershott,Professor,Business,UC Berkeley
177,Sun-Ah Jun,Professor,Linguistics,UCLA
178,Mario Milone,Assistant Professor,Rady School of Management,UC San Diego
179,Julia Simon,Distinguished Professor,French and Italian,UC Davis
180,Jorge L. Mazza Rodrigues,Professor,"Land, Air, and Water Resources",UC Davis
181,Matthew Lieberman,Professor,Psychology,UCLA
182,Simeon Nichter,Associate Professor,Political Science,UC San Diego
183,Thomas Hitchner,Lecturer,Writing Programs,UCLA
184,Charles F. Walker,Distinguished Professor,History,UC Davis
185,Achilles D Speliotopoulos,Lecturer with Continuing Appt,Physics,UC Berkeley
186,Alon Goren,Associate Professor,Medicine,UC San Diego
187,Julie Cullen,Professor,Economics,UC San Diego
188,Carolina Lithgow-Bertelloni,Professor,"Earth, Planetary, and Space Sciences",UCLA
189,Sherry (Chiayi) Lee,Assistant Professor,Ancient Greek and Roman Studies,UC Berkeley
190,David Singh Grewal,Professor,Law,UC Berkeley
191,Lucy Corin,Professor,English,UC Davis
192,Wei Xiong,Professor,Chemistry,UC San Diego
193,Ivo Welch,j fred weston professor,anderson,UCLA
194,Isha Ray,Professor,Energy & Resources Group,UC Berkeley
195,John Efron,Professor,History,UC Berkeley
196,Michael Wesley Suman,Lecturer,Communication,UCLA
197,Anthony D Long,Professor,Systems Biology,UC Irvine
198,David Blank,Chair,Classics,UCLA
199,Brian DeLay,Professor,History,UC Berkeley
200,Mark van der Laan,Professor,"School of Public Health, Biostatistics and Statistics",UC Berkeley
201,Kristin Persson,Professor,Materials Science and Engineering,UC Berkeley
202,Mark van der Laan,Professor,School of Public Health,UC Berkeley
203,Katerina Linos,Professor,Law,UC Berkeley
204,Nicholas Kolodny,Professor,Philosophy,UC Berkeley
205,Steven Solomon,Professor,Law,UC Berkeley
206,Sheri Johnson,Professor,Psychology,UC Berkeley
207,Anna Stilz,Kernan Robson Professor,Political Science,UC Berkeley
208,Hillel David Soifer,Associate Professor,Political Science,UC Berkeley
209,Constantin Teleman,Professor,Mathematics,UC Berkeley
210,Sonia Martinez,Professor,Mechanical and Aerospace Engineering,UC San Diego
211,Rebecca Perlman,Assistant Professor,Political Science,UC Berkeley
212,David Landreth,Associate Professor,English,UC Berkeley
213,John Laursen,Professor of the Graduate Division,Political Science,UC Riverside
214,R. Jay Wallace,Distinguished Professor,Philosophy,UC Berkeley
215,Kevis Goodman,Professor,English,UC Berkeley
216,Emily Mackil,Professor,History,UC Berkeley
217,Olga Louchakova-Schwartz,Visiting Researcher,"Department of Religion, Culture and Society",UC Davis
218,James Fowler,Professor,Political Science,UC San Diego
219,Matthew Traxler,Professor,Psychology,UC Davis
220,Stavros Gadinis,Professor,Law School,UC Berkeley
221,Jonathan Sheehan,Professor,History,UC Berkeley
222,Lee Fleming,Professor,IEOR and Haas School of Business,UC Berkeley
223,James Sallee,Professor,Haas School of Business,UC Berkeley
224,Sharon Oselin,Professor,Public Policy & Sociology,UC Riverside
225,Carlos Schmidt-Padilla,Assistant Professor,Public Policy,UC Berkeley
226,Ralph Hexter,Distinguished Professor emeritus,"Classics, Comparative Literature",UC Davis
227,Lynette Hunter,Distinguished Professor,Theatre and Dance/Performance Studies,UC Davis
228,Samuel Kernell,emeritus distinguished professor,Political Science,UC San Diego
229,Andrew Norris,Professor,Political Science,UC Santa Barbara
230,Raya Feldman,Associate Professor,Statistics and Applied Probability,UC Santa Barbara
231,Michael D Toney,Professor,Chemistry,UC Davis
232,Casey Perin,Professor,Philosophy,UC Irvine
233,Jason Wittenberg,Professor,Political Science,UC Berkeley
234,Didier Reiss,Continuing Lecturer,Geffen Academy (History),UCLA
235,Mike Palazzolo,Associate Professor,Graduate School of Management,UC Davis
236,Roberta Millstein,Professor Emerit,Philosophy,UC Davis
237,Tingting Nian,Associate Professor,Paul Merage School of Business,UC Irvine
238,Grace Erny,Assistant Professor,Ancient Greek and Roman Studies,UC Berkeley
239,Mei-Chu Chang,Professor,Math,UC Riverside
240,Janet Sorensen,Professor,English,UC Berkeley
241,Hooman Darabi,Professor of Teaching,ECE,UCLA
242,Timothy R Tangherlini,Professor,Dept of Scandinavian and The School of Information,UC Berkeley
243,Matthew Beckmann,Professor,Political Science,UC Irvine
244,Suzanne Blum,Professor,Chemistry,UC Irvine
245,Meredith Fowlie,Professor,Agricultural and Resource Economics,UC Berkeley
246,Winnie Wong,Professor,Rhetoric,UC Berkeley
247,David Meyer,Professor,Mathematics,UC San Diego
248,Everett Wetchler,Lecturer,Statistics,UC Berkeley
249,Emanuel Vespa,Professor,Economics,UC San Diego
250,Eric Sheppard,Distinguished Research Professor,Geography,UCLA
251,Carol A. Hess,Distinguished Professor,Music,UC Davis
252,Richard W. Robins,Distinguished Professor,Psychology,UC Davis
253,Dr. Oscar Perea-Rodriguez,Lecturer in Spanish Studies,Spanish & Portuguese,UC Berkeley
254,Marti Hearst,Professor,School of Information,UC Berkeley
255,Maura Nolan,Associate Professor,English,UC Berkeley
256,Maria Mavroudi,Professor,History,UC Berkeley
257,Tae-Yeoun Keum,Assistant Professor,Political Science,UC Santa Barbara
258,Martin Monti,Professor,Psychology,UCLA
259,Padma Rangarajan,Associate Professor,English,UC Riverside
260,Zsolt Katona,Professor,Business,UC Berkeley
261,Margaertta M. Lovell,Professor,History of Art,UC Berkeley
262,Jack Katz,Research Professor,Sociology,UCLA
263,John C Briggs,Professor Emeritus,English,UC Riverside
264,Daniel Lowenstein,Professor Emeritus,Law,UCLA
265,Richard Kravitz,Distinguished Professor,Internal Medicine,UC Davis
266,Moritz Meyer-ter-Vehn,Professor,Economics,UCLA
267,Zsuzsa Berend,academic admin.,sociology,UCLA
268,Alexandra Newton,Associate Professor,Philosophy,UC Riverside
269,Lev Michael,Professor,Linguistics,UC Berkeley
270,Neil Gilbert,Professor,Social Welfare,UC Berkeley
271,Jonah Levy,Professor,Political Science,UC Berkeley
272,Vinod Aggarwal,Distinguished Professor,Political Science,UC Berkeley
273,Shachar Kariv,Professor,Economics,UC Berkeley
274,Alan Yu,Professor,Linguistics,UC Berkeley
275,Daniel Rogalski,Professor,Mathematics,UC San Diego
276,Ben Shaw,Professor,Mechanical and Aerospace Engineering,UC Davis
277,Gina Bloom,Professor,English,UC Davis
278,Johann Frick,Associate Professor,Philosophy,UC Berkeley
279,Geert Schmid-Schoenbein,Professor,Bioengineering,UC San Diego
280,Justin G Marion,Professor,Economics,UC Santa Cruz
281,Diana Davis,Professor,History and Geography,UC Davis
282,Jeffrey Knapp,Distinguished Professor of the Graduate School,English,UC Berkeley
283,Janet Broughton,Professor Emerita,Philosophy,UC Berkeley
284,Jan de Vries,Professor,History,UC Berkeley
285,John MacFarlane,Professor,Philosophy,UC Berkeley
286,Eric Biber,Professor,Law,UC Berkeley
287,AnnaLee Saxenian,Professor,School of Information,UC Berkeley
288,Caroline Cole,Lecturer,College Writing Programs,UC Berkeley
289,Ellen Oliensis,Professor,"Ancient Greek & Roman Studies, Comparative Literature",UC Berkeley
290,Gila Sher,Professor,Philosophy,UC San Diego
291,Mark Hansen,Associate Adjunct Professor,"Department of Education and Center for Research on Evaluation, Standards, & Student Testing",UCLA
292,Felipe Goncalves,Assistant Professor,Economics,UCLA
293,Elena Chachko,Assistant Professor,Law,UC Berkeley
294,Anshul Sachdev,Alum,Rady School of Management,UC San Diego
295,Robert W Hillman,Distinguished Professor Emeritus,Law,UC Davis
296,Steven Postrel,Continuing Lecturer,Paul Merage School of Business,UC Irvine
297,Pradeep Chhiibber,Professor,Political Science,UC Berkeley
298,Laura Giuliano,Professor,Economics,UC Santa Cruz
299,Jackie Elliott,Professor,Ancient Greek and Roman Studies,UC Berkeley
300,Anna Joy Springer,Associate Professor,Literature,UC San Diego
301,Jeremy Thorner,Distinguished Professor Emeritus of Biochemistry. Biophysics & Structural Biology,Department of Molecular and Cell Biology,UC Berkeley
302,Robert Price,Professor,Political Science,UC Berkeley
303,Sarah Anzia,Professor,Political Science & Public Policy,UC Berkeley
304,Ting Xu,Professor,"Materials Science and Engineering, Chemistry",UC Berkeley
