column_1,column_2,column_3,column_4,column_5
184,Iain Clark,Assistant Professor,Bioengineering,UC Berkeley
185,Richard H Kramer,Professor,Neuroscience,UC Berkeley
186,Na Ji,Professor,Physics,UC Berkeley
187,Juan Pedro Ochoa-Ricoux,Professor,Physics and Astronomy,UC Irvine
188,Wick Haxton,Professor of the Graduate School,Physics,UC Berkeley
189,Sucharit Sarkar,Professor,Mathematics,UCLA
190,Alexei Efros,Professor,Electrical Engineering and Computer Sciences,UC Berkeley
191,Alanna Schepartz,Professor,Chemistry,UC Berkeley
192,Melissa Sherman-Bennett,Assistant Professor,Mathematics,UC Davis
193,Joel E. Moore,Professor,Physics,UC Berkeley
194,Mihai Cucuringu,Professor,Mathematics,UCLA
195,Georg Menz,Associate Professor,Mathematics,UCLA
196,Cristian D. Popescu,Professor,Mathematics,UC San Diego
197,Haiyan Huang,Professor,Statistics,UC Berkeley
198,Uros Seljak,Professor,Physics,UC Berkeley
199,Xin Gao,Chair,IEOR,UC Berkeley
200,William Fithian,Associate Professor,Statistics,UC Berkeley
201,Jack Tseng,Associate Professor,Integrative Biology,UC Berkeley
202,Raul Alejandro Briceno,Assistant Professor,Physics,UC Berkeley
203,Kameshwar Poolla,Professor,Mechanical Engineering,UC Berkeley
204,Shawn Shadden,Professor,Mechanical Engineering,UC Berkeley
205,Luca Iliesiu,Assistant Professor,Physics,UC Berkeley
206,Brendon Rhoades,Professor,Mathematics,UC San Diego
207,Jennifer Doudna,Professor,Molecular & Cell Biology and Chemistry,UC Berkeley
208,Ethan Ligon,Professor,Agricultural & Resource Economics,UC Berkeley
209,Robert Webber,Assistant Professor,Mathematics,UC San Diego
210,Laura Escobar,Associate Professor,Mathematics,UC Santa Cruz
211,Francesco Borrelli,Professor,Mechanical Engineering,UC Berkeley
212,Lloyd Knox,Professor,Physics and Astronomy,UC Davis
213,Joshua Apte,Associate Professor,Civil and Environmental Engineering,UC Berkeley
214,Mihai Putinar,Professor,Mathematics,UC Santa Barbara
215,Robert Dudley,Professor,Integrative Biology,UC Berkeley
216,Christian Shelton,Professor,Computer Science & Engineering,UC Riverside
217,Alexander Strang,Assistant Professor,Statistics,UC Berkeley
218,Dimitris Politis,Professor,Mathematics and Data Science,UC San Diego
219,Joni Wallis,Professor,Neuroscience,UC Berkeley
220,Parick Fitzsimmons,Professor,Mathematics,UC San Diego
221,Barbara Meyer,Professor,Molecular and Cell Biology,UC Berkeley
222,Xin Duan,Professor,Ophthalmology,UC San Francisco
223,Stephan Lammel,Associate Professor,Neuroscience,UC Berkeley
224,Ali M. Niknejad,Professor,EECS,UC Berkeley
225,Lawrence Hall,Professor Emeritus,Physics,UC Berkeley
226,Shimon Kolkowitz,Associate Professor,Physics,UC Berkeley
227,Juan Liu,Assistant Adjunct Professor,Integrative Biology,UC Berkeley
228,Ryan A. Hass,Continuing Lecturer,Mathematics,UC Berkeley
229,Eunyong Park,Associate Professor,Molecular and Cell Biology,UC Berkeley
